label,info,image path,page url
jabiru,"The jabiru ( or ; Jabiru mycteria) is a large stork found in the Americas from Mexico to Argentina, except west of the Andes. It sometimes wanders into the United States, usually in Texas, but has been reported as far north as Mississippi.",https://upload.wikimedia.org/wikipedia/commons/9/98/Jabiru_mycteria_con_cr%C3%ADas.jpg,https://en.wikipedia.org/wiki/Jabiru
jack snipe,"The jack snipe or jacksnipe (Lymnocryptes minimus) is a small stocky wader. It is the smallest snipe, and the only member of the genus Lymnocryptes.",https://upload.wikimedia.org/wikipedia/commons/6/61/Lymnocryptes_minimus_%28Marek_Szczepanek%29.jpg,https://en.wikipedia.org/wiki/Jack_snipe
jandaya parakeet,"The jandaya parakeet or jenday conure (Aratinga jandaya) is a small Neotropical parrot with green wings and tail, reddish-orange body, yellow head and neck, orange cheeks, and black bill, native to wooded habitats in northeastern Brazil. It is a member of the Aratinga solstitialis complex of parakeets very closely related to, and possibly subspecies of the sun parakeet.",https://upload.wikimedia.org/wikipedia/commons/b/bc/Aratinga_Jandaya_-in_tree-8.jpg,https://en.wikipedia.org/wiki/Jandaya_parakeet
japanese robin,"This is a list of the bird species recorded in Japan. The avifauna of Japan include a total of 725 species, of which 19 are endemic, and 30 have been introduced by humans.",https://upload.wikimedia.org/wikipedia/en/e/e2/Symbol_portal_class.svg,https://en.wikipedia.org/wiki/List_of_birds_of_Japan
java sparrow,"The Java sparrow (Padda oryzivora), also known as Java finch, Java rice sparrow or Java rice bird, is a small passerine bird. This estrildid finch is a resident breeding bird in Java, Bali and Bawean in Indonesia.",https://upload.wikimedia.org/wikipedia/commons/6/60/Buberel_Lonchura_oryzivora_3.jpg,https://en.wikipedia.org/wiki/Java_sparrow
jocotoco antpitta,"The jocotoco antpitta (Grallaria ridgelyi) is an endangered antpitta, a bird from Ecuador and Peru.  It was discovered in 1997, and scientifically described in 1999.",https://upload.wikimedia.org/wikipedia/commons/2/21/Grallaria_ridgelyi_-Tapichalaca_Reserve%2C_Ecuador-8.jpg,https://en.wikipedia.org/wiki/Jocotoco_antpitta
kagu,"The kagu or cagou (Rhynochetos jubatus) is a crested, long-legged, and bluish-grey bird endemic to the dense mountain forests of New Caledonia. It is the only surviving member of the genus Rhynochetos and the family Rhynochetidae, although a second species has been described from the fossil record.",https://upload.wikimedia.org/wikipedia/commons/5/51/A_pair_of_kagou_birds_%28Rhinochaetus_jubatus%29_with_one_displa_Wellcome_V0022346.jpg,https://en.wikipedia.org/wiki/Kagu
kakapo,"The kākāpō ( KAH-kə-poh; Māori: [kaːkaːpɔː]; from the Māori: kākāpō, lit. 'night parrot'), also known as  owl parrot (Strigops habroptilus), is a species of large, flightless, nocturnal, ground-dwelling parrots of the super-family Strigopoidea, endemic to New Zealand.Up to 64 cm (25 in) in length, these flightless birds have finely blotched yellow-green plumage, a distinct facial disc, owl-style forward-facing eyes with surrounding discs of specially-textured feathers,  a large grey beak,  short legs,  large blue feet, and relatively short wings and tail: a combination of traits making it unique among parrots.  It is the world's only flightless parrot, the world's heaviest parrot, and also is nocturnal, herbivorous, visibly sexually dimorphic in body size, has a low basal metabolic rate, and does not have male parental care.",https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg,https://en.wikipedia.org/wiki/K%C4%81k%C4%81p%C5%8D
killdear,The killdeer (Charadrius vociferus) is a large plover found in the Americas. It was described and given its current scientific name in 1758 by Carl Linnaeus in the 10th edition of his Systema Naturae.,https://upload.wikimedia.org/wikipedia/commons/b/bf/Charadrius_vociferus_-Sandy_Hook%2C_New_Jersey%2C_USA_-juvenile-8.jpg,https://en.wikipedia.org/wiki/Killdeer
king eider,"The king eider (pronounced ) (Somateria spectabilis) is a large sea duck that breeds along Northern Hemisphere Arctic coasts of northeast Europe, North America and Asia. The birds spend most of the year in coastal marine ecosystems at high latitudes, and migrate to Arctic tundra to breed in June and July.",https://upload.wikimedia.org/wikipedia/commons/8/86/King_Eider_%28Somateria_spectabilis%29_%2813667616745%29.jpg,https://en.wikipedia.org/wiki/King_eider
king vulture,The king vulture (Sarcoramphus papa) is a large bird found in Central and South America. It is a member of the New World vulture family Cathartidae.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Brevard_Zoo%2C_Australian_Section_-_Flickr_-_Rusty_Clark_%2812%29.jpg,https://en.wikipedia.org/wiki/King_vulture
kiwi,"The North Island brown kiwi (Apteryx mantelli; Apteryx australis or Apteryx bulleri as before 2000, still used in some sources) is a species of kiwi that is widespread in the northern two-thirds of the North Island of New Zealand and, with about 35,000 remaining, it is the most common kiwi. It holds the world record for laying the largest eggs relative to its body size.",https://upload.wikimedia.org/wikipedia/commons/4/4d/Apteryx_mantelli_%28AM_LB8581-2%29.jpg,https://en.wikipedia.org/wiki/North_Island_brown_kiwi
kookaburra,"Kookaburras are terrestrial tree kingfishers of the genus Dacelo native to Australia and New Guinea, which grow to between 28 and 47 cm (11 and 19 in) in length and weigh around 300 g (11 oz). The name is a loanword from Wiradjuri guuguubarra, onomatopoeic of its call.",https://upload.wikimedia.org/wikipedia/commons/c/c8/Australia-Stamp-1946_BCOF_Wartime_Overprint.jpg,https://en.wikipedia.org/wiki/Kookaburra
lark bunting,The lark bunting (Calamospiza melanocorys) is a medium-sized American sparrow native to central and western North America. It was designated the state bird of Colorado in 1931.,https://upload.wikimedia.org/wikipedia/commons/2/2c/Calamospiza_melanocorys_by_Nick_Varvel.jpg,https://en.wikipedia.org/wiki/Lark_bunting
lazuli bunting,"The lazuli bunting (Passerina amoena) is a North American songbird named for the gemstone lapis lazuli.


== Description ==
Measurements:
Length: 5.1-5.9 in (13-15 cm)
Weight: 0.5-0.6 oz (13-18 g)
Wingspan: 8.7 in (22 cm)The male is easily recognized by its bright blue head and back (lighter than the closely related indigo bunting), its conspicuous white wingbars, and its light rusty breast and white belly.",https://upload.wikimedia.org/wikipedia/commons/5/5a/I087b_Lazuli_Bunting.jpg,https://en.wikipedia.org/wiki/Lazuli_bunting
